Occupation,Number of workers,Median weekly earnings,Number of male workers,Male median weekly earnings,Number of female workers,Female median weekly earnings
"First-line supervisors of mechanics, installers, and repairers",267,"1,061",250,"1,082",17,N/A
"Computer, automated teller, and office machine repairers",162,897,141,899,21,N/A
Radio and telecommunications equipment installers and repairers,124,"1,063",117,"1,058",7,N/A
Avionics technicians,16,N/A,15,N/A,1,N/A
"Electric motor, power tool, and related repairers",12,N/A,12,N/A,0,N/A
"Electrical and electronics installers and repairers, transportation equipment",8,N/A,7,N/A,1,N/A
"Electrical and electronics repairers, industrial and utility",22,N/A,22,N/A,0,N/A
"Electronic equipment installers and repairers, motor vehicles",7,N/A,7,N/A,0,N/A
Electronic home entertainment equipment installers and repairers,25,N/A,25,N/A,0,N/A
Security and fire alarm systems installers,55,869,54,875,1,N/A
Aircraft mechanics and service technicians,155,"1,245",148,"1,265",7,N/A
Automotive body and related repairers,94,885,94,885,0,N/A
Automotive glass installers and repairers,15,N/A,15,N/A,0,N/A
Automotive service technicians and mechanics,705,811,693,811,12,N/A
Bus and truck mechanics and diesel engine specialists,315,984,312,983,3,N/A
Heavy vehicle and mobile equipment service technicians and mechanics,212,"1,008",212,"1,008",0,N/A
Small engine mechanics,24,N/A,24,N/A,0,N/A
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",58,627,58,628,0,N/A
Control and valve installers and repairers,22,N/A,21,N/A,1,N/A
"Heating, air conditioning, and refrigeration mechanics and installers",416,944,409,947,6,N/A
Home appliance repairers,32,N/A,31,N/A,1,N/A
Industrial and refractory machinery mechanics,392,"1,018",382,"1,028",10,N/A
"Maintenance and repair workers, general",534,882,514,883,20,N/A
"Maintenance workers, machinery",21,N/A,21,N/A,0,N/A
Millwrights,51,"1,180",48,N/A,3,N/A
Electrical power-line installers and repairers,123,"1,460",123,"1,460",0,N/A
Telecommunications line installers and repairers,178,901,168,884,10,N/A
Precision instrument and equipment repairers,48,N/A,42,N/A,6,N/A
Wind turbine service technicians,2,N/A,2,N/A,0,N/A
"Coin, vending, and amusement machine servicers and repairers",20,N/A,19,N/A,0,N/A
Commercial divers,0,N/A,0,N/A,0,N/A
Locksmiths and safe repairers,21,N/A,21,N/A,1,N/A
Manufactured building and mobile home installers,4,N/A,4,N/A,0,N/A
Riggers,13,N/A,13,N/A,0,N/A
Signal and track switch repairers,6,N/A,6,N/A,0,N/A
"Helpers--installation, maintenance, and repair workers",17,N/A,17,N/A,0,N/A
"Other installation, maintenance, and repair workers",128,839,118,850,10,N/A
"Production, transportation, and material moving occupations","15,353",727,"12,020",780,"3,334",593
